timestamp_utc,competition,rank,total_teams,score
2026-07-06 09:39:04,orbit-wars,18,4730,1554.9
2026-07-06 09:51:45,orbit-wars,20,4730,1550.2
2026-07-06 13:50:36,orbit-wars,27,4730,1502.3
2026-07-06 14:29:22,orbit-wars,27,4730,1484.9
2026-07-06 14:44:25,orbit-wars,26,4730,1503.0
2026-07-06 14:59:28,orbit-wars,26,4730,1501.7
2026-07-06 15:14:30,orbit-wars,23,4730,1514.5
2026-07-06 15:29:33,orbit-wars,22,4730,1514.6
2026-07-06 15:44:35,orbit-wars,19,4730,1545.5
2026-07-06 15:59:38,orbit-wars,20,4730,1546.7
2026-07-06 16:14:41,orbit-wars,20,4730,1532.0
2026-07-06 16:29:43,orbit-wars,21,4730,1526.0
2026-07-06 16:44:46,orbit-wars,19,4730,1548.8
2026-07-06 16:59:48,orbit-wars,19,4730,1540.8
2026-07-06 17:14:51,orbit-wars,19,4730,1541.0
2026-07-06 17:29:54,orbit-wars,19,4730,1538.6
2026-07-06 17:44:56,orbit-wars,19,4730,1544.7
2026-07-06 17:59:59,orbit-wars,20,4730,1545.7
2026-07-06 18:15:01,orbit-wars,21,4730,1526.4
2026-07-06 18:30:04,orbit-wars,21,4730,1528.0
2026-07-06 18:45:06,orbit-wars,21,4730,1529.5
2026-07-06 19:00:09,orbit-wars,20,4730,1538.2
2026-07-06 19:15:12,orbit-wars,19,4730,1536.9
2026-07-06 19:30:14,orbit-wars,19,4730,1554.2
2026-07-06 19:45:17,orbit-wars,21,4730,1530.5
2026-07-06 20:00:19,orbit-wars,24,4730,1513.1
2026-07-06 20:15:41,orbit-wars,27,4730,1496.1
2026-07-06 20:30:44,orbit-wars,28,4730,1481.8
2026-07-06 20:45:46,orbit-wars,26,4730,1494.5
2026-07-06 21:00:48,orbit-wars,23,4730,1521.4
2026-07-06 21:15:51,orbit-wars,21,4730,1538.8
2026-07-06 21:30:53,orbit-wars,23,4730,1531.1
2026-07-06 21:45:56,orbit-wars,24,4730,1523.6
2026-07-06 22:00:58,orbit-wars,24,4730,1528.8
2026-07-06 22:16:00,orbit-wars,25,4730,1518.5
2026-07-06 22:31:03,orbit-wars,24,4730,1516.9
2026-07-06 22:46:05,orbit-wars,19,4730,1539.2
2026-07-06 23:01:08,orbit-wars,20,4730,1535.8
2026-07-06 23:16:10,orbit-wars,21,4730,1536.6
2026-07-06 23:31:13,orbit-wars,23,4730,1520.6
2026-07-06 23:46:15,orbit-wars,23,4730,1524.4
2026-07-07 00:01:18,orbit-wars,23,4730,1536.1
2026-07-07 00:16:21,orbit-wars,21,4730,1542.5
2026-07-07 00:31:23,orbit-wars,20,4730,1557.6
2026-07-07 00:46:26,orbit-wars,20,4730,1553.5
2026-07-07 01:01:28,orbit-wars,19,4730,1562.1
2026-07-07 01:16:30,orbit-wars,20,4730,1553.6
2026-07-07 01:31:33,orbit-wars,20,4730,1538.6
2026-07-07 01:46:35,orbit-wars,22,4730,1528.9
2026-07-07 02:01:51,orbit-wars,26,4730,1508.2
2026-07-07 02:16:53,orbit-wars,23,4730,1523.5
2026-07-07 02:31:54,orbit-wars,19,4730,1549.4
2026-07-07 02:46:56,orbit-wars,20,4730,1547.9
2026-07-07 03:01:58,orbit-wars,20,4730,1535.4
2026-07-07 03:17:00,orbit-wars,20,4730,1547.9
2026-07-07 03:32:01,orbit-wars,20,4730,1554.9
2026-07-07 03:47:03,orbit-wars,19,4730,1566.2
2026-07-07 04:02:05,orbit-wars,19,4730,1561.7
2026-07-07 04:17:07,orbit-wars,18,4730,1565.6
2026-07-07 04:32:08,orbit-wars,20,4730,1553.5
2026-07-07 04:47:10,orbit-wars,19,4730,1556.2
2026-07-07 05:02:11,orbit-wars,18,4730,1566.6
2026-07-07 05:17:13,orbit-wars,18,4730,1572.5
2026-07-07 05:32:15,orbit-wars,19,4730,1567.0
2026-07-07 05:47:16,orbit-wars,19,4730,1562.2
2026-07-07 06:02:18,orbit-wars,18,4730,1565.1
2026-07-07 06:17:20,orbit-wars,19,4730,1551.7
2026-07-07 06:32:21,orbit-wars,20,4730,1546.8
2026-07-07 06:47:23,orbit-wars,23,4730,1534.0
2026-07-07 07:02:25,orbit-wars,25,4730,1518.2
2026-07-07 07:17:26,orbit-wars,25,4730,1519.4
2026-07-07 07:32:28,orbit-wars,21,4730,1541.3
